Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Month
20,4,-11.7,51,1.2,2000,-19.8,0,0,0,2
20,4,-5.2,28,2.5,2000,-20.9,0,0,0,2
20,6,8.6,96,0.7,224,7.9,0,0.2,0,3
20,6,4.2,87,2,1979,2.2,0,2,0,3
20,5,9.5,76,0.8,1962,5.4,0,0,0,4
20,8,9.6,39,0.8,1003,-3.7,0.79,0,0,4
20,8,12,87,1,296,9.8,0.1,1,0,5
21,5,-7.5,33,1.5,2000,-21,0,0,0,1
21,5,-11.5,51,3.3,1996,-19.6,0,0,0,2
21,3,-8.5,35,2.7,2000,-21.2,0,0,0,2
21,6,7.5,94,2.4,511,6.5,0,0.4,0,4
21,2,10.2,90,2.2,490,8.6,0,0.9,0,4
22,4,-15.9,37,2.4,1985,-27.2,0,0,0.7,1
22,5,-4,28,0.5,2000,-19.8,0,0,0,2
22,0,7.6,88,2.5,1974,5.7,0,9,0,3
22,5,4.7,89,2.3,1242,3,0,0,0,3
22,3,14.3,97,1.2,228,13.8,0,7,0,4
22,18,3,89,1.5,283,1.3,0.07,1.9,0,4
22,14,13,97,0.8,211,12.5,0.15,2,0,5
22,18,15.4,97,1.9,340,14.9,0.03,2,0,5
22,4,18.1,98,1.7,223,17.7,0,1,0,5
23,6,-11.8,54,2.4,1917,-19.2,0,0,0,2
23,23,1.8,96,1.2,745,1.2,0,0,0,2
23,7,8.4,97,2.6,122,7.9,0,0,0,3
23,1,7,88,2.5,2000,5.1,0,0,0,3
23,1,4.7,86,0.7,717,2.5,0,0,0,3
24,4,-15.4,30,2.5,2000,-29.1,0,0,0.9,1
24,4,-16.4,36,1.5,2000,-28,0,0,0.5,1
24,21,12,86,2.3,681,9.7,0,2.5,0,4
24,17,14.3,98,0.7,270,13.9,0.08,1.5,0,5
24,13,20.5,97,1.2,338,20,0.11,14.5,0,6
25,5,-15.4,45,0.8,2000,-24.6,0,0,0.3,1
25,8,8.8,95,2.8,519,8,0.03,5,0,4
25,21,15.8,97,0.6,193,15.3,0,0.5,0,5
25,1,15.3,97,3.2,178,14.8,0,3,0,5
26,4,-9.9,45,2.5,1967,-19.6,0,0,0,1
26,20,11.3,80,1.2,1978,7.9,0,0,0,3
26,22,20.2,98,0.5,468,19.8,0,6,0,5
26,14,21,97,0.7,381,20.4,0.26,2.5,0,6
27,3,-9.8,43,2.8,1963,-20,0,0,0,1
27,10,14.2,98,1.2,299,13.8,0.14,0,0,3
27,5,6.2,89,1.5,338,4.5,0,0,0,3
27,2,7.3,96,1,337,6.6,0,1.5,0,4
28,5,-5,44,0.9,1976,-15.3,0,0,0,2
28,13,7.6,57,2.3,554,-0.3,0.33,0,0,2
28,4,1.6,97,1.1,636,1.1,0,0,0,3
28,2,6.6,86,0.6,416,4.4,0,0,0,3
28,9,19.7,98,0.5,659,19.3,0.05,10,0,5
29,5,-4.2,79,1.2,442,-7.3,0,0,0,1
29,19,15.5,97,0.7,403,15,0,2,0,5
29,20,15.7,97,0.3,343,15.2,0,1,0,5
29,19,22.3,96,2.6,191,21.6,0,0,0,5
29,5,17.8,98,1,457,17.4,0,0.5,0,5
29,22,16.8,87,0.6,447,14.6,0,0.5,0,5
30,4,-14.3,45,2,2000,-23.6,0,0,0,1
30,6,-7.8,35,1.9,2000,-20.6,0,0,0,1
30,5,-9.2,37,1.1,2000,-21.2,0,0,0,2
30,6,-5.2,42,0.7,1980,-16.1,0,0,0,2
30,22,15.8,98,0.4,179,15.4,0,1.5,0,5
30,18,17.9,93,1.2,258,16.7,0.13,2,0,5
30,20,17.2,85,1.4,467,14.6,0,0.5,0,5
31,4,-2.7,67,0.5,1302,-7.9,0,0,0,1
31,4,-6.6,72,2.2,2000,-10.8,0,0,0.8,1
31,4,0,32,0.4,2000,-14.7,0,0,0,1
